1,549898,467,40850,67.1,2645324,107,293,5268,KR11680
2,457042,683,23278,67.7,329917,69,64,2746,KR11740
3,316750,143,19346,76.5,593257,59,60,1725,KR11305
4,595703,770,26088,72.5,404432,90,110,2204,KR11500
5,516662,1114,29355,65.2,721101,37,95,2107,KR11620
6,365990,415,26060,63.8,584151,45,62,2486,KR11215
7,438308,544,26106,65,233909,81,103,2032,KR11530
8,251370,334,17826,73.6,542211,30,76,1780,KR11545
9,535495,3,23201,66.2,436980,74,93,2314,KR11350
10,333495,4,12474,73.3,644091,42,35,1740,KR11320
11,362793,89,21525,74.1,486322,41,63,2459,KR11230
12,407802,620,17600,63.6,134842,57,67,2872,KR11590
13,386086,210,27917,62.9,310170,45,118,3248,KR11440
14,325875,108,17803,67.6,186457,43,35,2483,KR11410
15,434801,1007,25425,64.6,1368008,69,152,4341,KR11650
16,307193,64,15190,68.3,399265,45,61,3741,KR11200
17,454532,75,18980,69.5,463343,59,62,2308,KR11290
18,680883,306,32255,62.2,563905,136,161,3750,KR11710
19,460532,895,20679,64.7,197790,81,64,2458,KR11470
20,404766,276,32001,63.6,801965,74,114,2982,KR11560
21,246165,65,19227,68.3,402794,27,73,3963,KR11170
22,482509,246,22150,71.9,404665,55,77,2051,KR11380
23,161984,24,21932,98.9,566923,20,48,2493,KR11110
24,136469,12,22983,64.1,570265,24,30,3157,KR11140
25,400678,79,24446,70.4,345185,65,74,1850,KR11260